timestamp,open,high,low,close,volume,SMA
2019-12-03,147.49,149.43,146.65,149.31,25192145,146.33500000000004
2019-12-04,150.14,150.1799,149.2,149.85,17580617,146.78433333333336
2019-12-05,150.05,150.32,149.48,149.93,17880601,147.20733333333337
2019-12-06,150.99,151.87,150.27,151.75,16410400,147.60100000000003
2019-12-09,151.07,152.21,150.91,151.36,16741350,147.95533333333333
2019-12-10,151.29,151.89,150.765,151.13,16481060,148.18666666666667
2019-12-11,151.54,151.87,150.33,151.7,18860001,148.48233333333334
2019-12-12,151.65,153.44,151.02,153.24,24645366,148.77
2019-12-13,153.1106,154.89,152.83,154.53,23850062,149.142
2019-12-16,155.11,155.9,154.82,155.53,24152770,149.53566666666666
2019-12-17,155.45,155.71,154.45,154.69,25443527,149.87366666666665
2019-12-18,154.3,155.48,154.18,154.37,24132379,150.204
2019-12-19,154,155.77,153.75,155.71,25813825,150.59233333333333
2019-12-20,157.35,158.49,156.29,157.41,53599613,151.0306666666667
2019-12-23,158.12,158.12,157.27,157.41,17726283,151.4123333333333
2019-12-24,157.48,157.71,157.115,157.38,8989150,151.788
2019-12-26,157.5511,158.73,157.4,158.67,14526927,152.1746666666667
2019-12-27,159.45,159.55,158.22,158.96,18414352,152.56300000000002
2019-12-30,158.9865,159.02,156.73,157.59,16356720,152.88066666666666
2019-12-31,156.77,157.77,156.45,157.7,18393383,153.13833333333332
2020-01-02,158.78,160.73,158.33,160.62,22634546,153.48099999999997
2020-01-03,158.32,159.945,158.06,158.62,21121681,153.75533333333334
2020-01-06,157.08,159.1,156.51,159.03,20826702,154.069
2020-01-07,159.32,159.67,157.32,157.58,21881740,154.339
2020-01-08,158.93,160.8,157.9491,160.09,27762026,154.689
2020-01-09,161.835,162.215,161.03,162.09,21399951,155.051
2020-01-10,162.8235,163.22,161.18,161.34,20733946,155.36133333333333
2020-01-13,161.76,163.31,161.26,163.28,18666414,155.72666666666666
2020-01-14,163.39,163.6,161.72,162.13,23500783,156.085
2020-01-15,162.62,163.94,162.57,163.18,21417871,156.53933333333333
2020-01-16,164.35,166.24,164.03,166.17,23865360,157.10133333333337
2020-01-17,167.42,167.4675,165.43,167.1,34371659,157.6763333333334
2020-01-21,166.68,168.19,166.43,166.5,29223486,158.22866666666673
2020-01-22,167.4,167.49,165.68,165.7,24138777,158.6936666666667
2020-01-23,166.19,166.8,165.27,166.72,19680766,159.2056666666667
2020-01-24,167.51,167.53,164.45,165.04,24918117,159.66933333333336
2020-01-27,161.15,163.375,160.2,162.28,32078067,160.022
2020-01-28,163.78,165.755,163.073,165.46,24899940,160.42933333333337
2020-01-29,167.84,168.75,165.69,168.04,35127771,160.87966666666668
2020-01-30,174.05,174.05,170.79,172.78,51597470,161.45466666666664
2020-01-31,172.21,172.4,169.58,170.23,36142690,161.97266666666664
2020-02-03,170.43,174.5,170.4,174.38,30149052,162.6396666666666
2020-02-04,177.14,180.64,176.31,180.12,36433339,163.45333333333332
2020-02-05,184.03,184.2,178.4101,179.9,39186324,164.20299999999995
2020-02-06,180.97,183.8199,180.059,183.63,27751381,165.07699999999997
2020-02-07,182.845,185.63,182.48,183.89,33529074,165.96066666666667
2020-02-10,183.58,188.84,183.25,188.7,35844267,166.96166666666664
2020-02-11,190.65,190.7,183.5,184.44,53159906,167.81099999999998
2020-02-12,185.58,185.85,181.85,184.71,47062921,168.715
2020-02-13,183.08,186.23,182.872,183.71,35295834,169.582
2020-02-14,183.25,185.41,182.65,185.35,23149516,170.40633333333335
2020-02-18,185.605,187.7,185.5,187.23,27853113,171.36
2020-02-19,188.06,188.18,186.47,187.28,29997471,172.30166666666668
2020-02-20,186.95,187.25,181.1,184.42,36862376,173.1963333333333
2020-02-21,183.17,183.5,177.25,178.59,48600385,173.813
2020-02-24,167.77,174.55,163.23,170.89,68311066,174.10633333333334
2020-02-25,174.2,174.84,167.6462,168.07,68073295,174.33066666666667
2020-02-26,169.71,173.26,168.21,170.17,56387148,174.56033333333332
2020-02-27,163.32,167.03,157.98,158.18,93174906,174.4286666666667
2020-02-28,152.41,163.71,152,162.01,97073557,174.38966666666667
2020-03-02,165.31,172.92,162.31,172.79,71030810,174.61033333333336
2020-03-03,173.8,175,162.26,164.51,71677019,174.52400000000003
2020-03-04,168.485,170.7,165.62,170.55,49814383,174.65900000000005
2020-03-05,166.045,170.87,165.69,166.27,47817251,174.67800000000003
2020-03-06,162.61,163.11,156,161.57,72821057,174.50633333333337
2020-03-09,151,157.75,150,150.62,70419274,174.0256666666667
2020-03-10,158.16,161.03,152.58,160.92,65354385,173.98033333333336
2020-03-11,157.1304,157.7,151.15,153.63,56504304,173.58600000000004
2020-03-12,145.3,153.47,138.58,139.06,93226366,172.62000000000003
2020-03-13,147.5,161.91,140.73,158.83,88316120,172.15500000000006
